Batting Style,Playing Role,Innings_T20_batting,Innings_Test_batting,NO_T20,NO_Test,Runs_T20_batting,Runs_Test_batting,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_T20,SR_T20_batting,100_T20,100_Test,50_T20,50_Test,0_T20,0_Test,T20_Matches,Test_Matches,Country,SpanStart_Test,SpanStart_T20,AgeStart_Test,AgeStart_T20
0,1,1,13,1,0,6,310,6,82,28.8,0.0,23.84,7,85.71,0,0,0,1,0,1,1,7,5,2023,2024,24.64383562,25.64383562
1,1,106,18,4,1,2392,401,83,95,32.0,23.45,23.58,1941,123.23,0,0,12,4,6,3,110,9,4,2018,2015,27.58630137,24.58630137
0,0,16,10,8,2,65,135,11,43,12.12,8.12,16.87,72,90.27,0,0,0,0,2,3,33,6,1,2018,2012,24.81917808,18.81917808
1,0,11,41,4,5,337,1462,85,162,39.75,48.14,40.61,199,169.34,0,2,2,10,2,4,14,26,3,2004,2005,29.08,30.08
1,1,2,28,0,0,23,657,15,104,30.3,11.5,23.46,39,58.97,0,1,0,4,0,2,2,15,5,2009,2010,19.290410960000003,20.290410960000003
1,1,5,31,2,7,139,1485,51,269,45.78,46.33,61.87,114,121.92,0,5,1,4,0,2,7,20,3,2015,2007,35.81917808,27.81917808
1,1,75,21,8,0,2074,573,116,94,37.79,30.95,27.28,1499,138.35,1,0,12,5,5,0,75,11,8,2015,2011,26.56986301,22.56986301
1,0,73,193,22,26,1416,7608,81,200,40.24,27.76,45.55,1175,120.51,0,16,6,41,1,5,90,109,1,2009,2009,22.15616438,22.15616438
1,0,71,1,24,0,1033,2,71,2,27.21,21.97,2.0,631,163.7,0,0,3,0,9,0,82,1,5,2010,2011,22.24931507,23.24931507
1,1,103,10,12,0,3120,278,172,62,38.89,34.28,27.8,2189,142.53,2,0,19,2,8,1,103,5,3,2018,2011,31.69863014,24.69863014
1,0,1,33,0,4,11,760,11,163,21.04,11.0,26.2,10,110.0,0,1,0,3,0,7,2,21,6,2002,2006,26.99726027,30.99726027
1,1,6,16,0,1,126,325,63,83,25.33,21.0,21.66,84,150.0,0,0,1,2,0,1,7,8,7,2008,2009,28.849315070000003,29.849315070000003
0,1,4,178,0,6,73,7037,33,177,35.63,18.25,40.91,64,114.06,0,21,0,27,1,15,4,100,8,2004,2005,27.408219180000003,28.408219180000003
1,1,44,67,7,1,1241,2398,70,152,36.56,33.54,36.33,864,143.63,0,7,9,10,2,6,48,37,6,2017,2019,22.81917808,24.81917808
0,0,25,4,7,2,166,19,27,9,25.84,9.22,9.5,153,108.49,0,0,0,0,7,1,42,4,6,2017,2017,21.40547945,21.40547945
0,0,1,36,0,3,8,886,8,92,18.96,8.0,26.84,8,100.0,0,0,0,6,0,6,1,19,0,2001,2010,22.994520549999997,31.994520549999997
1,1,20,144,2,12,375,5077,61,188,35.26,20.83,38.46,331,113.29,0,12,1,26,2,10,20,85,10,2013,2011,25.14520548,23.14520548
0,1,4,291,0,16,61,12472,26,294,36.4,15.25,45.35,54,112.96,0,33,0,57,0,9,4,161,8,2006,2007,21.59452055,22.59452055
1,1,2,64,0,4,14,2093,8,182,28.0,7.0,34.88,19,73.68,0,5,0,8,0,3,2,36,6,2010,2010,29.67671233,29.67671233
1,0,2,2,1,0,13,18,7,11,17.45,13.0,9.0,12,108.33,0,0,0,0,0,0,4,1,7,2002,2005,27.032876709999996,30.032876709999996
0,0,18,15,6,2,155,397,36,86,17.95,12.91,30.53,132,117.42,0,0,0,3,1,1,32,8,4,2019,2014,26.24657534,21.24657534
0,0,37,22,14,4,463,646,65,84,18.8,20.13,35.88,321,144.23,0,0,1,4,2,1,62,14,10,2021,2015,27.52328767,21.52328767
0,1,26,47,5,5,233,1339,37,111,32.98,11.09,31.88,215,108.37,0,1,0,8,2,3,38,32,3,2021,2018,29.92328767,26.92328767
1,1,6,32,1,2,64,1330,41,201,34.66,12.8,44.33,53,120.75,0,4,0,5,4,4,6,17,9,2021,2020,21.69041096,20.69041096
1,1,8,10,0,1,141,214,48,48,17.6,17.62,23.77,172,81.97,0,0,0,0,0,1,8,6,2,2018,2013,24.96986301,19.96986301
1,1,11,31,1,3,228,582,62,82,24.73,22.8,20.78,178,128.08,0,0,1,1,0,4,11,16,11,2004,2006,18.71780822,20.71780822
1,1,59,25,2,1,1471,982,111,176,32.56,25.8,40.91,1282,114.74,1,3,7,4,2,1,59,13,9,2013,2009,21.682191779999997,17.682191779999997
1,0,7,34,2,1,57,584,19,85,19.6,11.4,17.69,85,67.05,0,0,0,2,2,6,7,17,11,2002,2007,18.57534247,23.57534247
