Bowling Style,Innings_T20_bowling,Innings_Test_bowling,Balls_Test,Runs_T20_bowling,Runs_Test_bowling,Wickets_T20,Wickets_Test,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_T20,Econ_Test,SR_T20_bowling,SR_Test_bowling,4_T20,5_T20,5_Test,10_Test,T20_Matches,Test_Matches,Country,SpanStart_Test,SpanStart_T20,Bowling Hand,AgeStart_Test,AgeStart_T20
1,33,12,1385,965,819,30,33,0.0833333333333333,0.0521739130434782,29.56,32.16,24.81,8.25,3.54,23.3,41.9,0,0,4,0,33,6,6,2018,2012,1,24.81917808,18.81917808
1,10,40,5103,240,2715,16,76,0.125,0.0704225352112676,23.6,15.0,35.72,6.31,3.19,14.2,67.1,0,0,1,0,10,22,7,2008,2010,1,25.67945205,27.67945205
1,12,2,420,289,277,4,2,0.0714285714285714,0.0117647058823529,80.0,72.25,138.5,8.02,3.95,54.0,210.0,0,0,0,0,12,2,9,2020,2019,0,24.50684932,23.50684932
0,2,69,7630,42,3919,2,123,0.1052631578947368,0.1875,27.68,21.0,31.86,5.25,3.08,24.0,62.0,0,0,3,1,2,36,8,2001,2005,1,24.03835616,28.03835616
0,41,32,3057,1016,1870,53,70,0.5714285714285714,0.1071428571428571,27.27,19.16,26.71,7.01,3.67,16.3,43.6,3,0,4,0,42,19,8,2019,2019,1,25.70136986,25.70136986
0,3,2,102,97,63,3,4,0.0526315789473684,0.0666666666666666,28.82,32.33,15.75,8.81,3.7,22.0,25.5,0,0,0,0,3,1,5,2010,2010,1,25.005479450000003,25.005479450000003
1,12,41,2094,277,896,8,24,0.1428571428571428,0.06,37.25,34.62,37.33,8.98,2.56,23.1,87.2,0,0,0,0,14,26,2,2004,2005,1,29.08,30.08
0,3,6,533,84,357,6,22,0.2,0.1555555555555555,35.27,14.0,16.22,9.5,4.01,8.8,24.2,1,0,2,1,3,3,5,2024,2023,1,26.5260274,25.5260274
0,3,46,4857,85,2745,3,58,0.2,0.1463414634146341,27.85,28.33,47.32,8.09,3.39,21.0,83.7,0,0,1,0,4,26,7,1998,2006,1,20.65205479,28.65205479
1,49,10,1006,1129,468,49,9,0.2,0.0652173913043478,45.61,23.04,52.0,6.5,2.79,21.2,111.7,0,2,0,0,49,5,2,2013,2016,0,19.79178082,22.79178082
