Batting Style,Playing Role,Innings_ODI_batting,Innings_Test_batting,NO_ODI,NO_Test,Runs_ODI_batting,Runs_Test_batting,HS_ODI,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,SR_ODI_batting,100_ODI,100_Test,50_ODI,50_Test,0_ODI,0_Test,ODI_Matches,Test_Matches,Country,SpanStart_ODI,SpanStart_Test,AgeStart_ODI,AgeStart_Test
0,1,10,13,0,0,288,310,66,82,28.8,0.0,23.84,337,85.45,0,0,2,1,0,1,10,7,11,2023,2023,24.64383562,24.64383562
1,1,102,18,8,1,3008,401,145,95,32.0,23.45,23.58,4021,74.8,8,0,16,4,7,3,108,9,1,2010,2018,19.58630137,27.58630137
0,0,30,10,6,2,291,135,50,43,12.12,8.12,16.87,417,69.78,0,0,1,0,3,3,40,6,2,2012,2018,18.81917808,24.81917808
1,0,161,41,33,5,5088,1462,156,162,39.75,48.14,40.61,5504,92.44,6,2,30,10,15,4,198,26,7,1998,2004,23.08,29.08
1,1,14,28,1,0,394,657,113,104,30.3,11.5,23.46,612,64.37,1,1,1,4,2,2,14,15,11,2010,2009,20.290410960000003,19.290410960000003
1,1,28,31,9,7,870,1485,112,269,45.78,46.33,61.87,998,87.17,1,5,4,4,0,2,31,20,7,2007,2015,27.81917808,35.81917808
1,1,67,21,3,0,2419,573,171,94,37.79,30.95,27.28,2527,95.72,6,0,14,5,5,0,70,11,10,2014,2015,25.56986301,26.56986301
1,0,195,193,48,26,5916,7608,139,200,40.24,27.76,45.55,7136,82.9,3,16,40,41,17,5,226,109,2,2008,2009,21.15616438,22.15616438
1,0,47,1,9,0,1034,2,92,2,27.21,21.97,2.0,794,130.22,0,0,4,0,6,0,56,1,11,2011,2010,23.24931507,22.24931507
1,1,142,10,3,0,5406,278,153,62,38.89,34.28,27.8,6162,87.73,17,0,30,2,16,1,146,5,7,2013,2018,26.69863014,31.69863014
1,0,56,33,13,4,905,760,81,163,21.04,11.0,26.2,1206,75.04,0,1,3,3,5,7,88,21,6,1999,2002,23.99726027,26.99726027
1,1,6,16,0,1,152,325,52,83,25.33,21.0,21.66,259,58.68,0,0,1,2,0,1,6,8,5,2009,2008,29.849315070000003,28.849315070000003
0,1,126,178,8,6,4205,7037,158,177,35.63,18.25,40.91,5195,80.94,6,21,27,27,9,15,127,100,10,2003,2004,26.408219180000003,27.408219180000003
1,1,65,67,7,1,2121,2398,175,152,36.56,33.54,36.33,2158,98.28,3,7,10,10,4,6,68,37,6,2017,2017,22.81917808,22.81917808
0,0,51,4,18,2,853,19,69,9,25.84,9.22,9.5,973,87.66,0,0,2,0,4,1,78,4,6,2016,2017,20.40547945,21.40547945
0,0,41,36,8,3,626,886,63,92,18.96,8.0,26.84,589,106.28,0,0,5,6,3,6,54,19,3,1999,2001,20.994520549999997,22.994520549999997
1,1,87,144,3,12,2962,5077,111,188,35.26,20.83,38.46,3767,78.63,3,12,24,26,6,10,90,85,8,2011,2013,23.14520548,25.14520548
0,1,92,291,4,16,3204,12472,137,294,36.4,15.25,45.35,4154,77.13,5,33,19,57,7,9,92,161,10,2006,2006,21.59452055,21.59452055
1,1,19,64,1,4,504,2093,80,182,28.0,7.0,34.88,610,82.62,0,5,4,8,0,3,21,36,6,2006,2010,25.67671233,29.67671233
1,0,34,2,10,0,419,18,45,11,17.45,13.0,9.0,417,100.47,0,0,0,0,1,0,42,1,5,2001,2002,26.032876709999996,27.032876709999996
0,0,59,15,13,2,826,397,79,86,17.95,12.91,30.53,1188,69.52,0,0,2,3,5,1,88,8,1,2014,2019,21.24657534,26.24657534
0,0,36,22,10,4,489,646,64,84,18.8,20.13,35.88,499,97.99,0,0,2,4,3,1,57,14,8,2014,2021,20.52328767,27.52328767
0,1,66,47,11,5,1814,1339,106,111,32.98,11.09,31.88,2052,88.4,1,1,8,8,4,3,72,32,7,2018,2021,26.92328767,29.92328767
1,1,12,32,0,2,416,1330,113,201,34.66,12.8,44.33,471,88.32,1,4,4,5,1,4,12,17,9,2022,2021,22.69041096,21.69041096
1,1,16,10,1,1,264,214,60,48,17.6,17.62,23.77,488,54.09,0,0,2,0,3,1,17,6,4,2014,2018,20.96986301,24.96986301
1,1,85,31,6,3,1954,582,92,82,24.73,22.8,20.78,2353,83.04,0,0,14,1,8,4,85,16,0,2004,2004,18.71780822,18.71780822
1,1,81,25,1,1,2605,982,124,176,32.56,25.8,40.91,3614,72.08,6,3,14,4,7,1,81,13,9,2009,2013,17.682191779999997,21.682191779999997
1,0,66,34,3,1,1235,584,115,85,19.6,11.4,17.69,1817,67.96,1,0,5,2,5,6,69,17,0,2002,2002,18.57534247,18.57534247
1,1,39,26,5,1,794,530,70,145,23.35,11.66,21.2,1403,56.59,0,1,3,2,5,3,39,13,0,1988,2000,20.487671229999997,32.48767123
1,0,16,6,9,2,23,83,7,34,3.28,10.0,20.75,94,24.46,0,0,0,0,1,0,31,4,4,2012,2019,20.956164379999997,27.956164379999997
1,1,46,10,0,0,1352,100,120,23,29.39,24.72,10.0,1808,74.77,3,0,5,0,6,1,49,5,0,2012,2013,19.61917808,20.61917808
1,0,0,4,0,1,0,88,0,41,0.0,14.75,29.33,0,0.0,0,0,0,0,0,0,1,2,0,2018,2018,25.69589041,25.69589041
1,1,58,128,4,6,1336,4660,84,137,24.74,19.2,38.19,1979,67.5,0,12,9,27,5,13,60,77,9,2010,2010,24.501369859999997,24.501369859999997
1,1,108,10,10,0,2424,440,101,164,24.73,21.93,44.0,3630,66.77,1,1,12,3,7,1,114,6,4,2009,2018,21.591780819999997,30.591780819999997
1,1,5,1,0,0,116,14,72,14,23.2,8.8,14.0,177,65.53,0,0,1,0,0,0,6,1,9,1996,1996,27.410958899999997,27.410958899999997
