Bowling Style,Innings_ODI_bowling,Innings_Test_bowling,Balls_ODI,Balls_Test,Runs_ODI_bowling,Runs_Test_bowling,Wickets_ODI,Wickets_Test,BBI_ODI,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_ODI,Econ_Test,SR_ODI_bowling,SR_Test_bowling,4_ODI,5_ODI,5_Test,10_Test,ODI_Matches,Test_Matches,Country,SpanStart_ODI,SpanStart_Test,Bowling Hand,AgeStart_ODI,AgeStart_Test
0,38,12,1995,1385,1715,819,58,33,0.2068965517241379,0.0521739130434782,29.56,32.16,24.81,5.15,3.54,34.3,41.9,2,2,4,0,40,6,7,2012,2018,1,18.81917808,24.81917808
0,34,40,1917,5103,1511,2715,64,76,0.125,0.0704225352112676,23.6,15.0,35.72,4.72,3.19,29.9,67.1,2,2,1,0,36,22,4,2003,2008,1,20.67945205,25.67945205
0,2,2,102,420,80,277,1,2,0.0344827586206896,0.0117647058823529,80.0,72.25,138.5,4.7,3.95,102.0,210.0,0,0,0,0,2,2,11,2019,2020,0,23.50684932,24.50684932
1,76,69,3801,7630,2935,3919,106,123,0.1111111111111111,0.1875,27.68,21.0,31.86,4.63,3.08,35.8,62.0,3,1,3,1,79,36,2,2001,2001,1,24.03835616,24.03835616
1,21,32,1006,3057,982,1870,36,70,0.0784313725490196,0.1071428571428571,27.27,19.16,26.71,5.85,3.67,27.9,43.6,3,0,4,0,22,19,2,2019,2019,1,25.70136986,25.70136986
1,11,2,588,102,490,63,17,4,0.073170731707317,0.0666666666666666,28.82,32.33,15.75,5.0,3.7,34.5,25.5,0,0,0,0,11,1,6,2010,2010,1,25.005479450000003,25.005479450000003
0,158,41,5935,2094,4955,896,133,24,0.2777777777777778,0.06,37.25,34.62,37.33,5.0,2.56,44.6,87.2,2,1,0,0,198,26,3,1998,2004,1,23.08,29.08
1,9,6,382,533,388,357,11,22,0.0714285714285714,0.1555555555555555,35.27,14.0,16.22,6.09,4.01,34.7,24.2,0,0,2,1,9,3,6,2023,2024,1,25.5260274,26.5260274
1,188,46,9484,4857,8021,2745,288,58,0.1428571428571428,0.1463414634146341,27.85,28.33,47.32,5.07,3.39,32.9,83.7,10,2,1,0,191,26,4,1998,1998,1,20.65205479,20.65205479
0,22,10,1098,1006,958,468,21,9,0.064516129032258,0.0652173913043478,45.61,23.04,52.0,5.23,2.79,52.2,111.7,0,0,0,0,22,5,3,2015,2013,0,21.79178082,19.79178082
1,163,84,5324,3948,4110,1784,126,33,0.3,0.0909090909090909,32.61,30.86,54.06,4.63,2.71,42.2,119.6,2,1,0,0,226,109,7,2008,2009,1,21.15616438,22.15616438
1,55,2,2290,138,2229,104,70,1,0.1142857142857142,0.0136986301369863,31.84,30.23,104.0,5.84,4.52,32.7,138.0,5,0,0,0,56,1,8,2011,2010,1,23.24931507,22.24931507
0,95,27,4680,4214,3597,2604,119,57,0.1304347826086956,0.04,30.22,18.85,45.68,4.61,3.7,39.3,73.9,4,3,1,0,96,19,11,2009,2005,1,22.86027397,18.86027397
1,78,38,3341,3001,2515,1617,95,45,0.2777777777777778,3.0,26.47,20.0,35.93,4.51,3.23,35.1,66.6,3,1,0,0,88,21,2,1999,2002,1,23.99726027,26.99726027
1,19,1,926,186,800,120,27,1,0.0754716981132075,0.0083333333333333,29.62,15.5,120.0,5.18,3.87,34.2,186.0,2,0,0,0,19,1,5,2010,2010,0,30.28219178,30.28219178
1,73,8,2995,250,2889,147,91,11,0.1818181818181818,0.2307692307692307,31.74,22.24,13.36,5.78,3.52,32.9,22.7,3,0,0,0,78,4,2,2016,2017,1,20.40547945,21.40547945
1,53,30,2348,3173,2063,1964,50,53,0.0930232558139534,0.0684931506849315,41.26,0.0,37.05,5.27,3.71,46.9,59.8,2,0,3,0,54,19,11,1999,2001,1,20.994520549999997,22.994520549999997
1,6,22,270,2125,269,1197,5,45,0.0869565217391304,0.1176470588235294,53.8,53.33,26.6,5.97,3.37,54.0,47.2,0,0,1,1,7,14,7,2017,2021,1,19.99726027,23.99726027
1,40,2,1885,190,1643,105,53,6,0.2272727272727272,0.0681818181818181,31.0,35.0,17.5,5.22,3.31,35.5,31.6,2,1,0,0,42,1,5,2001,2002,1,26.032876709999996,27.032876709999996
