Player Name,Born,Batting Style,Bowling Style,Playing Role,Innings_ODI_batting,Innings_T20_batting,Innings_Test_batting,NO_ODI,NO_T20,NO_Test,Runs_ODI_batting,Runs_T20_batting,Runs_Test_batting,HS_ODI,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,BF_T20,SR_ODI_batting,SR_T20_batting,100_ODI,100_T20,100_Test,50_ODI,50_T20,50_Test,0_ODI,0_T20,0_Test,Innings_ODI_bowling,Innings_T20_bowling,Innings_Test_bowling,Balls_ODI,Balls_Test,Runs_ODI_bowling,Runs_T20_bowling,Runs_Test_bowling,Wickets_ODI,Wickets_T20,Wickets_Test,BBI_ODI,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_ODI,Econ_T20,Econ_Test,SR_ODI_bowling,SR_T20_bowling,SR_Test_bowling,4_ODI,4_T20,5_ODI,5_T20,5_Test,10_Test,ODI_Matches,T20_Matches,Test_Matches,Country,SpanStart_ODI,SpanStart_Test,SpanStart_T20,Bowling Hand,AgeStart_ODI,AgeStart_Test,AgeStart_T20
A Athanaze,1998-12-07,Left hand Bat,Spinner,Batter,10,1,13,0,1,0,288,6,310,66,6,82,28.8,0.0,23.84,337,7,85.45,85.71,0,0,0,2,0,1,0,0,1,1,0,2,6,120,7,0,65,0,0,1,0.0,0.0,0.018867924528301886,0.0,0.0,65.0,7.0,0.0,3.25,0.0,0.0,120.0,0,0,0,0,0,0,10,1,7,WI,2023,2023,2024,Right Hand,24.64383562,24.64383562,25.64383562
A Balbirnie,1990-12-28,Right hand Bat,Spinner,Batter,102,106,18,8,4,1,3008,2392,401,145,83,95,32.0,23.45,23.58,4021,1941,74.8,123.23,8,0,0,16,12,4,7,6,3,3,0,1,60,6,68,0,8,2,0,0,0.038461538461538464,0.0,0.0,34.0,0.0,0.0,6.8,0.0,8.0,30.0,0.0,0.0,0,0,0,0,0,0,108,110,9,IRE,2010,2018,2015,Right Hand,19.58630137,27.58630137,24.58630137
A Dananjaya,1993-10-04,Left hand Bat,Spinner,Allrounder,30,16,10,6,8,2,291,65,135,50,11,43,12.12,8.12,16.87,417,72,69.78,90.27,0,0,0,1,0,0,3,2,3,38,33,12,1995,1385,1715,965,819,58,30,33,0.20689655172413793,0.08333333333333333,0.05217391304347826,29.56,32.16,24.81,5.15,8.25,3.54,34.3,23.3,41.9,2,0,2,0,4,0,40,33,6,SL,2012,2018,2012,Right Hand,18.81917808,24.81917808,18.81917808
A Symonds,1975-06-09,Right hand Bat,Spinner,Allrounder,161,11,41,33,4,5,5088,337,1462,156,85,162,39.75,48.14,40.61,5504,199,92.44,169.34,6,0,2,30,2,10,15,2,4,158,12,41,5935,2094,4955,277,896,133,8,24,0.2777777777777778,0.14285714285714285,0.06,37.25,34.62,37.33,5.0,8.98,2.56,44.6,23.1,87.2,2,0,1,0,0,0,198,14,26,AUS,1998,2004,2005,Right Hand,23.08,29.08,30.08
AB Barath,1990-04-14,Right hand Bat,Spinner,Batter,14,2,28,1,0,0,394,23,657,113,15,104,30.3,11.5,23.46,612,39,64.37,58.97,1,0,1,1,0,4,2,0,2,0,0,1,0,6,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,0,0,0,0,14,2,15,WI,2010,2009,2010,Right Hand,20.290410960000003,19.290410960000003,20.290410960000003
AC Voges,1979-10-04,Right hand Bat,Spinner,Batter,28,5,31,9,2,7,870,139,1485,112,51,269,45.78,46.33,61.87,998,114,87.17,121.92,1,0,5,4,1,4,0,0,2,15,1,6,301,76,276,5,44,6,2,0,0.3333333333333333,0.4,0.0,46.0,2.5,0.0,5.5,2.5,3.47,50.1,6.0,0.0,0,0,0,0,0,0,31,7,20,AUS,2007,2015,2007,Left Hand,27.81917808,35.81917808,27.81917808
AD Hales,1989-01-03,Right hand Bat,Pacer,Batter,67,75,21,3,8,0,2419,2074,573,171,116,94,37.79,30.95,27.28,2527,1499,95.72,138.35,6,1,0,14,12,5,5,5,0,0,0,1,0,18,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0,0,0,0,0,0,70,75,11,ENG,2014,2015,2011,Right Hand,25.56986301,26.56986301,22.56986301
AD Mathews,1987-06-02,Right hand Bat,Pacer,Allrounder,195,73,193,48,22,26,5916,1416,7608,139,81,200,40.24,27.76,45.55,7136,1175,82.9,120.51,3,0,16,40,6,41,17,1,5,163,72,84,5324,3948,4110,1389,1784,126,45,33,0.3,0.1875,0.09090909090909091,32.61,30.86,54.06,4.63,7.12,2.71,42.2,25.9,119.6,2,0,1,0,0,0,226,90,109,SL,2008,2009,2009,Right Hand,21.15616438,22.15616438,22.15616438
AD Russell,1988-04-29,Right hand Bat,Pacer,Allrounder,47,71,1,9,24,0,1034,1033,2,92,71,2,27.21,21.97,2.0,794,631,130.22,163.7,0,0,0,4,3,0,6,9,0,55,71,2,2290,138,2229,1814,104,70,60,1,0.11428571428571428,0.15789473684210525,0.0136986301369863,31.84,30.23,104.0,5.84,9.23,4.52,32.7,19.6,138.0,5,0,0,0,0,0,56,82,1,WI,2011,2010,2011,Right Hand,23.24931507,22.24931507,23.24931507
AJ Finch,1986-11-17,Right hand Bat,Spinner,Batter,142,103,10,3,12,0,5406,3120,278,153,172,62,38.89,34.28,27.8,6162,2189,87.73,142.53,17,2,0,30,19,2,16,8,1,21,2,1,284,12,259,27,8,4,0,0,0.5,0.0,0.0,64.75,0.0,0.0,5.47,13.5,4.0,71.0,0.0,0.0,0,0,0,0,0,0,146,103,5,AUS,2013,2018,2011,Left Hand,26.69863014,31.69863014,24.69863014
AJ Hall,1975-07-31,Right hand Bat,Pacer,Allrounder,56,1,33,13,0,4,905,11,760,81,11,163,21.04,11.0,26.2,1206,10,75.04,110.0,0,0,1,3,0,3,5,0,7,78,2,38,3341,3001,2515,60,1617,95,3,45,0.2777777777777778,0.13636363636363635,3.0,26.47,20.0,35.93,4.51,7.5,3.23,35.1,16.0,66.6,3,0,1,0,0,0,88,2,21,SA,1999,2002,2006,Right Hand,23.997260269999998,26.997260269999998,30.997260269999998
AJ Redmond,1979-09-23,Right hand Bat,Spinner,Batter,6,6,16,0,0,1,152,126,325,52,63,83,25.33,21.0,21.66,259,84,58.68,150.0,0,0,0,1,1,2,0,0,1,0,1,5,0,105,0,24,80,0,2,3,0.0,0.08333333333333333,0.0425531914893617,0.0,12.0,26.66,0.0,8.47,4.57,0.0,8.5,35.0,0,0,0,0,0,0,6,7,8,NZ,2009,2008,2009,Right Hand,29.849315070000003,28.849315070000003,29.849315070000003
