Player Name,Born,Batting Style,Bowling Style,Playing Role,Innings_ODI_batting,Innings_T20_batting,Innings_Test_batting,NO_ODI,NO_T20,NO_Test,Runs_ODI_batting,Runs_T20_batting,Runs_Test_batting,HS_ODI,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,BF_T20,SR_ODI_batting,SR_T20_batting,100_ODI,100_T20,100_Test,50_ODI,50_T20,50_Test,0_ODI,0_T20,0_Test,Innings_ODI_bowling,Innings_T20_bowling,Innings_Test_bowling,Balls_ODI,Balls_Test,Runs_ODI_bowling,Runs_T20_bowling,Runs_Test_bowling,Wickets_ODI,Wickets_T20,Wickets_Test,BBI_ODI,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_ODI,Econ_T20,Econ_Test,SR_ODI_bowling,SR_T20_bowling,SR_Test_bowling,4_ODI,4_T20,5_ODI,5_T20,5_Test,10_Test,ODI_Matches,T20_Matches,Test_Matches,Country,SpanStart_ODI,SpanStart_Test,SpanStart_T20,Bowling Hand,AgeStart_ODI,AgeStart_Test,AgeStart_T20
A Dananjaya,1993-10-04,Left hand Bat,Spinner,Allrounder,30,16,10,6,8,2,291,65,135,50,11,43,12.12,8.12,16.87,417,72,69.78,90.27,0,0,0,1,0,0,3,2,3,38,33,12,1995,1385,1715,965,819,58,30,33,0.20689655172413793,0.08333333333333333,0.05217391304347826,29.56,32.16,24.81,5.15,8.25,3.54,34.3,23.3,41.9,2,0,2,0,4,0,40,33,6,SL,2012,2018,2012,Right Hand,18.81917808,24.81917808,18.81917808
A Mishra,1982-11-24,Right hand Bat,Spinner,Bowler,11,1,32,3,0,2,43,0,648,14,0,84,5.37,0.0,21.6,82,0,52.43,0.0,0,0,0,0,0,4,2,1,4,34,10,40,1917,5103,1511,240,2715,64,16,76,0.125,0.125,0.07042253521126761,23.6,15.0,35.72,4.72,6.31,3.19,29.9,14.2,67.1,2,0,2,0,1,0,36,10,22,IND,2003,2008,2010,Right Hand,20.679452050000002,25.679452050000002,27.679452050000002
A Ndlovu,1996-01-26,Right hand Bat,Spinner,Bowler,0,5,4,0,3,0,0,33,9,0,13,5,0.0,16.5,2.25,0,41,0.0,80.48,0,0,0,0,0,0,0,0,2,2,12,2,102,420,80,289,277,1,4,2,0.034482758620689655,0.07142857142857142,0.011764705882352941,80.0,72.25,138.5,4.7,8.02,3.95,102.0,54.0,210.0,0,0,0,0,0,0,2,12,2,ZIM,2019,2020,2019,Left Hand,23.50684932,24.50684932,23.50684932
A Nel,1977-07-15,Right hand Bat,Pacer,Bowler,22,1,42,12,1,8,127,0,337,30,0,34,12.7,0.0,9.91,166,2,76.5,0.0,0,0,0,0,0,0,2,0,11,76,2,69,3801,7630,2935,42,3919,106,2,123,0.1111111111111111,0.10526315789473684,0.1875,27.68,21.0,31.86,4.63,5.25,3.08,35.8,24.0,62.0,3,0,1,0,3,1,79,2,36,SA,2001,2001,2005,Right Hand,24.03835616,24.03835616,28.03835616
A Nortje,1993-11-16,Right hand Bat,Pacer,Bowler,7,12,33,1,6,9,40,17,187,10,4,40,6.66,2.83,7.79,59,35,67.79,48.57,0,0,0,0,0,0,1,2,8,21,41,32,1006,3057,982,1016,1870,36,53,70,0.0784313725490196,0.5714285714285714,0.10714285714285714,27.27,19.16,26.71,5.85,7.01,3.67,27.9,16.3,43.6,3,3,0,0,4,0,22,42,19,SA,2019,2019,2019,Right Hand,25.70136986,25.70136986,25.70136986
A Shahzad,1985-07-27,Right hand Bat,Pacer,Bowler,8,1,1,2,1,0,39,0,5,9,0,5,6.5,0.0,5.0,60,3,65.0,0.0,0,0,0,0,0,0,0,0,0,11,3,2,588,102,490,97,63,17,3,4,0.07317073170731707,0.05263157894736842,0.06666666666666667,28.82,32.33,15.75,5.0,8.81,3.7,34.5,22.0,25.5,0,0,0,0,0,0,11,3,1,ENG,2010,2010,2010,Right Hand,25.005479450000003,25.005479450000003,25.005479450000003
A Symonds,1975-06-09,Right hand Bat,Spinner,Allrounder,161,11,41,33,4,5,5088,337,1462,156,85,162,39.75,48.14,40.61,5504,199,92.44,169.34,6,0,2,30,2,10,15,2,4,158,12,41,5935,2094,4955,277,896,133,8,24,0.2777777777777778,0.14285714285714285,0.06,37.25,34.62,37.33,5.0,8.98,2.56,44.6,23.1,87.2,2,0,1,0,0,0,198,14,26,AUS,1998,2004,2005,Right Hand,23.08,29.08,30.08
AAP Atkinson,1998-01-19,Right hand Bat,Pacer,Bowler,6,1,4,2,1,1,63,8,44,35,8,21,15.75,0.0,14.66,50,10,126.0,80.0,0,0,0,0,0,0,1,0,1,9,3,6,382,533,388,84,357,11,6,22,0.07142857142857142,0.2,0.15555555555555556,35.27,14.0,16.22,6.09,9.5,4.01,34.7,8.8,24.2,0,1,0,0,2,1,9,3,3,ENG,2023,2024,2023,Right Hand,25.5260274,26.5260274,25.5260274
AB Agarkar,1977-12-04,Right hand Bat,Pacer,Bowler,113,2,39,26,0,5,1269,15,571,95,14,109,14.58,7.5,16.79,1574,11,80.62,136.36,0,0,1,3,0,0,10,0,9,188,3,46,9484,4857,8021,85,2745,288,3,58,0.14285714285714285,0.2,0.14634146341463414,27.85,28.33,47.32,5.07,8.09,3.39,32.9,21.0,83.7,10,0,2,0,1,0,191,4,26,IND,1998,1998,2006,Right Hand,20.65205479,20.65205479,28.65205479
AC Agar,1993-10-14,Left hand Bat,Spinner,Bowler,18,29,7,5,5,1,322,279,195,48,29,98,24.76,11.62,32.5,388,278,82.98,100.35,0,0,0,0,0,1,3,4,0,22,49,10,1098,1006,958,1129,468,21,49,9,0.06451612903225806,0.2,0.06521739130434782,45.61,23.04,52.0,5.23,6.5,2.79,52.2,21.2,111.7,0,0,0,2,0,0,22,49,5,AUS,2015,2013,2016,Left Hand,21.79178082,19.79178082,22.79178082
