Player Name,Player URL,Span,Matches,Innings,NO,Runs,HS,Ave,BF,SR,100,50,0,Born,Age,Batting Style,Bowling Style,Playing Role,Height
SR Tendulkar (IND),https://www.espncricinfo.com/ci/content/player/35320.html,1989-2012,463,452,41,18426,200*,44.83,21368,86.23,49,96,20,"April 24, 1973, Bombay (now Mumbai), Maharashtra",51y 96d,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,5ft 5in
KC Sangakkara (Asia/ICC/SL),https://www.espncricinfo.com/ci/content/player/50710.html,2000-2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15,"October 27, 1977, Matale",46y 276d,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,
V Kohli (IND),https://www.espncricinfo.com/ci/content/player/253802.html,2008-2023,292,280,44,13848,183,58.67,14797,93.58,50,72,16,"November 05, 1988, Delhi",35y 267d,Right hand Bat,Right arm Medium,Top order Batter,
RT Ponting (AUS/ICC),https://www.espncricinfo.com/ci/content/player/7133.html,1995-2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20,"December 19, 1974, Launceston, Tasmania",49y 223d,Right hand Bat,Right arm Medium,Top order Batter,1.78 m
ST Jayasuriya (Asia/SL),https://www.espncricinfo.com/ci/content/player/49209.html,1989-2011,445,433,18,13430,189,32.36,14725,91.2,28,68,34,"June 30, 1969, Matara",55y 29d,Left hand Bat,Slow Left arm Orthodox,Allrounder,
DPMD Jayawardene (Asia/SL),https://www.espncricinfo.com/ci/content/player/49289.html,1998-2015,448,418,39,12650,144,33.37,16020,78.96,19,77,28,"May 27, 1977, Colombo",47y 63d,Right hand Bat,Right arm Medium,Batter,
Inzamam-ul-Haq (Asia/PAK),https://www.espncricinfo.com/ci/content/player/40570.html,1991-2007,378,350,53,11739,137*,39.52,15812,74.24,10,83,20,"March 03, 1970, Multan, Punjab",54y 148d,Right hand Bat,Slow Left arm Orthodox,Batter,
JH Kallis (Afr/ICC/SA),https://www.espncricinfo.com/ci/content/player/45789.html,1996-2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17,"October 16, 1975, Pinelands, Cape Town, Cape Province",48y 287d,Right hand Bat,Right arm Fast medium,Allrounder,
SC Ganguly (Asia/IND),https://www.espncricinfo.com/ci/content/player/28779.html,1992-2007,311,300,23,11363,183,41.02,15416,73.7,22,72,16,"July 08, 1972, Calcutta (now Kolkata), Bengal",52y 21d,Left hand Bat,Right arm Medium,Batter,5ft 11in
R Dravid (Asia/ICC/IND),https://www.espncricinfo.com/ci/content/player/28114.html,1996-2011,344,318,40,10889,153,39.16,15285,71.23,12,83,13,"January 11, 1973, Indore, Madhya Pradesh",51y 200d,Right hand Bat,Right arm Offbreak,Top order Batter,
MS Dhoni (Asia/IND),https://www.espncricinfo.com/ci/content/player/28081.html,2004-2019,350,297,84,10773,183*,50.57,12303,87.56,10,73,10,"July 07, 1981, Ranchi, Bihar (now Jharkhand)",43y 22d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
RG Sharma (IND),https://www.espncricinfo.com/ci/content/player/34102.html,2007-2023,262,254,36,10709,264,49.12,11644,91.97,31,55,16,"April 30, 1987, Bansod, Nagpur, Maharashtra",37y 90d,Right hand Bat,Right arm Offbreak,Top order Batter,
CH Gayle (ICC/WI),https://www.espncricinfo.com/ci/content/player/51880.html,1999-2019,301,294,17,10480,215,37.83,12019,87.19,25,54,25,"September 21, 1979, Kingston, Jamaica",44y 312d,Left hand Bat,Right arm Offbreak,Allrounder,
BC Lara (ICC/WI),https://www.espncricinfo.com/ci/content/player/52337.html,1990-2007,299,289,32,10405,169,40.48,13086,79.51,19,63,16,"May 02, 1969, Cantaro, Santa Cruz, Trinidad",55y 88d,Left hand Bat,Legbreak Googly,Batter,5ft 8in
TM Dilshan (SL),https://www.espncricinfo.com/ci/content/player/48472.html,1999-2016,330,303,41,10290,161*,39.27,11933,86.23,22,47,11,"October 14, 1976, Kalutara",47y 289d,Right hand Bat,Right arm Offbreak,Allrounder,
Mohammad Yousuf (Asia/PAK),https://www.espncricinfo.com/ci/content/player/43650.html,1998-2010,288,273,40,9720,141*,41.71,12942,75.1,15,64,15,"August 27, 1974, Lahore, Punjab",49y 337d,Right hand Bat,Right arm Offbreak,Batter,
AC Gilchrist (AUS/ICC),https://www.espncricinfo.com/ci/content/player/5390.html,1996-2008,287,279,11,9619,172,35.89,9922,96.94,16,55,19,"November 14, 1971, Bellingen, New South Wales",52y 258d,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,1.86 m
AB de Villiers (Afr/SA),https://www.espncricinfo.com/ci/content/player/44936.html,2005-2018,228,218,39,9577,176,53.5,9473,101.09,25,53,7,"February 17, 1984, Pretoria",40y 163d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
M Azharuddin (IND),https://www.espncricinfo.com/ci/content/player/26329.html,1985-2000,334,308,54,9378,153*,36.92,12669,74.02,7,58,9,"February 08, 1963, Hyderabad, Andhra Pradesh",61y 172d,Right hand Bat,Right arm Medium,Middle order Batter,
PA de Silva (SL),https://www.espncricinfo.com/ci/content/player/48462.html,1984-2003,308,296,30,9284,145,34.9,11443,81.13,11,64,17,"October 17, 1965, Colombo",58y 286d,Right hand Bat,Right arm Offbreak,Batting Allrounder,
Saeed Anwar (PAK),https://www.espncricinfo.com/ci/content/player/42605.html,1989-2003,247,244,19,8824,194,39.21,10938,80.67,20,43,15,"September 06, 1968, Karachi, Sind",55y 327d,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
S Chanderpaul (WI),https://www.espncricinfo.com/ci/content/player/51469.html,1994-2011,268,251,40,8778,150,41.6,12408,70.74,11,59,6,"August 16, 1974, Unity Village, East Coast, Demerara, Guyana",49y 348d,Left hand Bat,Legbreak,Batter,
Yuvraj Singh (Asia/IND),https://www.espncricinfo.com/ci/content/player/36084.html,2000-2017,304,278,40,8701,150,36.55,9924,87.67,14,52,18,"December 12, 1981, Chandigarh",42y 230d,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,
DL Haynes (WI),https://www.espncricinfo.com/ci/content/player/52047.html,1978-1994,238,237,28,8648,152*,41.37,13707,63.09,17,57,13,"February 15, 1956, Holders Hill, St James, Barbados",68y 165d,Right hand Bat,,Opening Batter,
LRPL Taylor (NZ),https://www.espncricinfo.com/ci/content/player/38699.html,2006-2022,236,220,39,8607,181*,47.55,10330,83.32,21,51,9,"March 08, 1984, Lower Hutt, Wellington",40y 143d,Right hand Bat,Right arm Offbreak,Middle order Batter,
