,Player Name,Player URL,Span,Matches,Innings,Balls,Runs,Wickets,BBI,Ave,Econ,SR,4,5,Born,Age,Batting Style,Bowling Style,Playing Role
0,M Muralidaran (Asia/ICC/SL),https://www.espncricinfo.com/ci/content/player/49636.html,1993-2011,350,341,18811,12326,534,7/30,23.08,3.93,35.2,15,10,"April 17, 1972, Kandy",52y 103d,Right hand Bat,Right arm Offbreak,Bowler
1,Wasim Akram (PAK),https://www.espncricinfo.com/ci/content/player/43547.html,1984-2003,356,351,18186,11812,502,5/15,23.52,3.89,36.2,17,6,"June 03, 1966, Lahore, Punjab",58y 56d,Left hand Bat,Left arm Fast,Bowler
2,Waqar Younis (PAK),https://www.espncricinfo.com/ci/content/player/43543.html,1989-2003,262,258,12698,9919,416,7/36,23.84,4.68,30.5,14,13,"November 16, 1971, Vehari, Punjab",52y 256d,Right hand Bat,Right arm Fast,Bowler
3,WPUJC Vaas (Asia/SL),https://www.espncricinfo.com/ci/content/player/50804.html,1994-2008,322,320,15775,11014,400,8/19,27.53,4.18,39.4,9,4,"January 27, 1974, Mattumagala",50y 184d,Left hand Bat,Left arm Fast medium,Bowler
4,Shahid Afridi (Asia/ICC/PAK),https://www.espncricinfo.com/ci/content/player/42639.html,1996-2015,398,372,17670,13632,395,7/12,34.51,4.62,44.7,4,9,"March 01, 1980, Khyber Agency",44y 150d,Right hand Bat,Legbreak Googly,Allrounder
5,SM Pollock (Afr/ICC/SA),https://www.espncricinfo.com/ci/content/player/46774.html,1996-2008,303,297,15712,9631,393,6/35,24.5,3.67,39.9,12,5,"July 16, 1973, Port Elizabeth, Cape Province",51y 13d,Right hand Bat,Right arm Fast medium,Allrounder
6,GD McGrath (AUS/ICC),https://www.espncricinfo.com/ci/content/player/6565.html,1993-2007,250,248,12970,8391,381,7/15,22.02,3.88,34,9,7,"February 09, 1970, Dubbo, New South Wales",54y 171d,Right hand Bat,Right arm Fast medium,Bowler
7,B Lee (AUS),https://www.espncricinfo.com/ci/content/player/6278.html,2000-2012,221,217,11185,8877,380,5/22,23.36,4.76,29.4,14,9,"November 08, 1976, Wollongong, New South Wales",47y 264d,Right hand Bat,Right arm Fast,Bowler
8,SL Malinga (SL),https://www.espncricinfo.com/ci/content/player/49758.html,2004-2019,226,220,10936,9760,338,6/38,28.87,5.35,32.3,11,8,"August 28, 1983, Galle",40y 336d,Right hand Bat,Right arm Fast,Bowler
9,A Kumble (Asia/IND),https://www.espncricinfo.com/ci/content/player/30176.html,1990-2007,271,265,14496,10412,337,6/12,30.89,4.3,43,8,2,"October 17, 1970, Bangalore, Karnataka",53y 286d,Right hand Bat,Legbreak Googly,Bowler
10,ST Jayasuriya (Asia/SL),https://www.espncricinfo.com/ci/content/player/49209.html,1989-2011,445,368,14874,11871,323,6/29,36.75,4.78,46,8,4,"June 30, 1969, Matara",55y 29d,Left hand Bat,Slow Left arm Orthodox,Allrounder
11,Shakib Al Hasan (BAN),https://www.espncricinfo.com/ci/content/player/56143.html,2006-2023,247,241,12575,9360,317,5/29,29.52,4.46,39.6,10,4,"March 24, 1987, Magura, Jessore",37y 127d,Left hand Bat,Slow Left arm Orthodox,Allrounder
12,J Srinath (IND),https://www.espncricinfo.com/ci/content/player/34105.html,1991-2003,229,227,11935,8847,315,5/23,28.08,4.44,37.8,7,3,"August 31, 1969, Mysore, Karnataka",54y 333d,Right hand Bat,Right arm Fast medium,Bowler
13,DL Vettori (ICC/NZ),https://www.espncricinfo.com/ci/content/player/38710.html,1997-2015,295,277,14060,9674,305,5/7,31.71,4.12,46,8,2,"January 27, 1979, Auckland",45y 184d,Left hand Bat,Slow Left arm Orthodox,Allrounder
14,SK Warne (AUS/ICC),https://www.espncricinfo.com/ci/content/player/8166.html,1993-2005,194,191,10642,7541,293,5/33,25.73,4.25,36.3,12,1,"September 13, 1969, Ferntree Gully, Victoria",,Right hand Bat,Legbreak Googly,Bowler
15,AB Agarkar (IND),https://www.espncricinfo.com/ci/content/player/26184.html,1998-2007,191,188,9484,8021,288,6/42,27.85,5.07,32.9,10,2,"December 04, 1977, Bombay (now Mumbai), Maharashtra",46y 238d,Right hand Bat,Right arm Fast,Bowler
16,Saqlain Mushtaq (PAK),https://www.espncricinfo.com/ci/content/player/42628.html,1995-2003,169,165,8770,6275,288,5/20,21.78,4.29,30.4,11,6,"December 29, 1976, Lahore, Punjab",47y 213d,Right hand Bat,Right arm Offbreak,Bowler
17,Z Khan (Asia/IND),https://www.espncricinfo.com/ci/content/player/30102.html,2000-2012,200,197,10097,8301,282,5/42,29.43,4.93,35.8,7,1,"October 08, 1978, Shrirampur, Maharashtra",45y 295d,Right hand Bat,Left arm Fast medium,Bowler
18,JH Kallis (Afr/ICC/SA),https://www.espncricinfo.com/ci/content/player/45789.html,1996-2014,328,283,10750,8680,273,5/30,31.79,4.84,39.3,2,2,"October 16, 1975, Pinelands, Cape Town, Cape Province",48y 287d,Right hand Bat,Right arm Fast medium,Allrounder
