Player Name,Player URL,Span,Matches,Innings,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Born,Age,Batting Style,Bowling Style,Playing Role,Height
RG Sharma (IND),https://www.espncricinfo.com/ci/content/player/34102.html,2007-2024,159,151,19,4231,121*,32.05,3003,140.89,5,32,12,383,205,"April 30, 1987, Bansod, Nagpur, Maharashtra",37y 90d,Right hand Bat,Right arm Offbreak,Top order Batter,
V Kohli (IND),https://www.espncricinfo.com/ci/content/player/253802.html,2010-2024,125,117,31,4188,122*,48.69,3056,137.04,1,38,7,369,124,"November 05, 1988, Delhi",35y 267d,Right hand Bat,Right arm Medium,Top order Batter,
Babar Azam (PAK),https://www.espncricinfo.com/ci/content/player/348144.html,2016-2024,123,116,15,4145,122,41.03,3211,129.08,3,36,6,440,72,"October 15, 1994, Lahore, Punjab",29y 288d,Right hand Bat,Right arm Offbreak,Batter,
PR Stirling (IRE),https://www.espncricinfo.com/ci/content/player/303427.html,2009-2024,145,144,11,3601,115*,27.07,2675,134.61,1,23,13,418,128,"September 03, 1990, Belfast",33y 330d,Right hand Bat,Right arm Offbreak,Batting Allrounder,
MJ Guptill (NZ),https://www.espncricinfo.com/ci/content/player/226492.html,2009-2022,122,118,7,3531,105,31.81,2602,135.7,2,20,3,309,173,"September 30, 1986, Auckland",37y 303d,Right hand Bat,Right arm Offbreak,Opening Batter,
Mohammad Rizwan (PAK),https://www.espncricinfo.com/ci/content/player/323389.html,2015-2024,102,89,21,3313,104*,48.72,2620,126.45,1,29,4,278,92,"June 01, 1992, Peshawar, Khyber Pakhtunkhwa",32y 58d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,5ft 7in
DA Warner (AUS),https://www.espncricinfo.com/ci/content/player/219889.html,2009-2024,110,110,12,3277,100*,33.43,2300,142.47,1,28,6,337,122,"October 27, 1986, Paddington, New South Wales",37y 276d,Left hand Bat,Legbreak,Opening Batter,1.7 m
JC Buttler (ENG),https://www.espncricinfo.com/ci/content/player/308967.html,2011-2024,124,114,23,3264,101*,35.86,2231,146.3,1,24,7,300,137,"September 08, 1990, Taunton, Somerset",33y 325d,Right hand Bat,,Wicketkeeper Batter,
AJ Finch (AUS),https://www.espncricinfo.com/ci/content/player/5334.html,2011-2022,103,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125,"November 17, 1986, Colac, Victoria",37y 255d,Right hand Bat,Slow Left arm Orthodox,Top order Batter,1.74 m
GJ Maxwell (AUS),https://www.espncricinfo.com/ci/content/player/325026.html,2012-2024,113,104,17,2600,145*,29.88,1680,154.76,5,11,4,217,134,"October 14, 1988, Kew, Melbourne, Victoria",35y 289d,Right hand Bat,Right arm Offbreak,Batting Allrounder,
