,Player Name,Player URL,Span,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Ave,Econ,SR,4,5,Born,Age,Batting Style,Bowling Style,Playing Role
0,TG Southee (NZ),https://www.espncricinfo.com/ci/content/player/232364.html,2008-2024,126,123,458.5,7,3671,164,5/18,22.38,8,16.7,2,2,"December 11, 1988, Whangarei, Northland",35y 231d,Right hand Bat,Right arm Medium fast,Bowler
1,Rashid Khan (AFG/ICC),https://www.espncricinfo.com/ci/content/player/793463.html,2015-2024,93,93,353.2,1,2149,152,5/3,14.13,6.08,13.9,7,2,"September 20, 1998, Nangarhar",25y 313d,Right hand Bat,Legbreak Googly,Bowling Allrounder
2,Shakib Al Hasan (BAN),https://www.espncricinfo.com/ci/content/player/56143.html,2006-2024,129,126,457.3,3,3117,149,5/20,20.91,6.81,18.4,6,2,"March 24, 1987, Magura, Jessore",37y 127d,Left hand Bat,Slow Left arm Orthodox,Allrounder
3,IS Sodhi (NZ),https://www.espncricinfo.com/ci/content/player/559066.html,2014-2024,117,112,396.3,0,3171,138,4/28,22.97,7.99,17.2,3,0,"October 31, 1992, Ludhiana, India",31y 272d,Right hand Bat,Legbreak,Bowler
4,Mustafizur Rahman (BAN),https://www.espncricinfo.com/ci/content/player/330902.html,2015-2024,103,102,368.4,8,2730,128,6/10,21.32,7.4,17.2,3,2,"September 06, 1995, Satkhira",28y 327d,Left hand Bat,Left arm Fast medium,Bowler
5,MR Adair (IRE),https://www.espncricinfo.com/ci/content/player/526441.html,2019-2024,86,86,308.4,2,2375,122,4/13,19.46,7.69,15.1,3,0,"March 27, 1996, Holywood, Northern Ireland",28y 124d,Right hand Bat,Right arm Fast medium,Bowling Allrounder
6,AU Rashid (ENG),https://www.espncricinfo.com/ci/content/player/244497.html,2009-2024,114,110,400.2,4,2936,120,4/2,24.46,7.33,20,3,0,"February 17, 1988, Bradford, Yorkshire",36y 163d,Right hand Bat,Legbreak,Bowler
7,MJ Santner (NZ),https://www.espncricinfo.com/ci/content/player/502714.html,2015-2024,104,102,359,2,2533,115,4/11,22.02,7.05,18.7,3,0,"February 05, 1992, Hamilton",32y 175d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
8,PW Hasaranga (SL),https://www.espncricinfo.com/ci/content/player/784379.html,2019-2024,70,68,254,1,1760,112,4/9,15.71,6.92,13.6,3,0,"July 29, 1997, Galle",27y,Right hand Bat,Legbreak,Allrounder
9,Bilal Khan (OMA),https://www.espncricinfo.com/ci/content/player/937953.html,2015-2024,79,78,283,7,1919,110,4/19,17.44,6.78,15.4,3,0,"April 10, 1987, Peshawar",37y 110d,Left hand Bat,Left arm Medium fast,Bowler
