,Player Name,Born,Age,Batting Style,Bowling Style,Playing Role,Innings_ODI_batting,Innings_T20_batting,Innings_Test_batting,NO_ODI,NO_T20,NO_Test,Runs_ODI_batting,Runs_T20_batting,Runs_Test_batting,HS_ODI,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,BF_T20,BF_Test,SR_ODI_batting,SR_T20_batting,100_ODI,100_T20,100_Test,50_ODI,50_T20,50_Test,0_ODI,0_T20,0_Test,Innings_ODI_bowling,Innings_T20_bowling,Innings_Test_bowling,Balls_ODI,Balls_T20,Balls_Test,Runs_ODI_bowling,Runs_T20_bowling,Runs_Test_bowling,Wickets_ODI,Wickets_T20,Wickets_Test,BBI_ODI,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_ODI,Econ_T20,Econ_Test,SR_ODI_bowling,SR_T20_bowling,SR_Test_bowling,4_ODI,4_T20,4_Test,5_ODI,5_T20,5_Test,10_ODI,10_T20,10_Test,ODI_Matches,T20_Matches,Test_Matches,Country,Current Status,SpanStart_ODI,SpanEnd_ODI,SpanStart_Test,SpanEnd_Test,SpanStart_T20,SpanEnd_T20
0,A Athanaze,12/7/1998,25.64383562,Left hand Bat,Right arm Offbreak,Middle order Batter,10,1,13,0,1,0,288,6,310,66,6,82,28.8,0.0,23.84,337,7,0,85.45,85.71,0,0,0,2,0,1,0,0,1,1,0,2,6,0,120,7,0,65,0,0,1,-,-,1/53,0.0,0.0,65.0,7.0,0.0,3.25,0.0,0.0,120.0,0,0,0,0,0,0,0,0,0,10,1,7,WI,Currently Playing,2023,2024,2023,2024,2024,2024
1,A Balbirnie,12/28/1990,33.58630137,Right hand Bat,Right arm Offbreak,Batter,102,106,18,8,4,1,3008,2392,401,145,83,95,32.0,23.45,23.58,4021,1941,0,74.8,123.23,8,0,0,16,12,4,7,6,3,3,0,1,60,0,6,68,0,8,2,0,0,1/26,-,-,34.0,0.0,0.0,6.8,0.0,8.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0,108,110,9,IRE,Currently Playing,2010,2024,2018,2024,2015,2024
2,A Dananjaya,10/4/1993,30.81917808,Left hand Bat,"Right arm Offbreak, Legbreak",Allrounder,30,16,10,6,8,2,291,65,135,50,11,43,12.12,8.12,16.87,417,72,0,69.78,90.27,0,0,0,1,0,0,3,2,3,38,33,12,1995,0,1385,1715,965,819,58,30,33,6/29,3/36,6/115,29.56,32.16,24.81,5.15,8.25,3.54,34.3,23.3,41.9,2,0,0,2,0,4,0,0,0,40,33,6,SL,Currently Playing,2012,2024,2018,2019,2012,2024
3,A Mishra,11/24/1982,41.67945205,Right hand Bat,Legbreak,Bowler,11,1,32,3,0,2,43,0,648,14,0,84,5.37,0.0,21.6,82,0,0,52.43,0.0,0,0,0,0,0,4,2,1,4,34,10,40,1917,0,5103,1511,240,2715,64,16,76,6/48,3/24,5/71,23.6,15.0,35.72,4.72,6.31,3.19,29.9,14.2,67.1,2,0,0,2,0,1,0,0,0,36,10,22,IND,Retired,2003,2016,2008,2016,2010,2017
4,A Ndlovu,1/26/1996,28.50684932,Right hand Bat,Slow Left arm Orthodox,Bowler,0,5,4,0,3,0,0,33,9,0,13,5,0.0,16.5,2.25,0,41,0,0.0,80.48,0,0,0,0,0,0,0,0,2,2,12,2,102,0,420,80,289,277,1,4,2,1/29,1/14,2/170,80.0,72.25,138.5,4.7,8.02,3.95,102.0,54.0,210.0,0,0,0,0,0,0,0,0,0,2,12,2,ZIM,Currently Playing,2019,2019,2020,2020,2019,2024
5,A Nel,7/15/1977,47.03835616,Right hand Bat,Right arm Fast medium,Bowler,22,1,42,12,1,8,127,0,337,30,0,34,12.7,0.0,9.91,166,2,0,76.5,0.0,0,0,0,0,0,0,2,0,11,76,2,69,3801,0,7630,2935,42,3919,106,2,123,5/45,2/19,6/32,27.68,21.0,31.86,4.63,5.25,3.08,35.8,24.0,62.0,3,0,0,1,0,3,0,0,1,79,2,36,SA,Retired,2001,2008,2001,2008,2005,2007
6,A Nortje,11/16/1993,30.70136986,Right hand Bat,Right arm Fast,Bowler,7,12,33,1,6,9,40,17,187,10,4,40,6.66,2.83,7.79,59,35,0,67.79,48.57,0,0,0,0,0,0,1,2,8,21,41,32,1006,0,3057,982,1016,1870,36,53,70,4/51,4/7,6/56,27.27,19.16,26.71,5.85,7.01,3.67,27.9,16.3,43.6,3,3,0,0,0,4,0,0,0,22,42,19,SA,Currently Playing,2019,2023,2019,2023,2019,2024
7,A Shahzad,7/27/1985,39.00547945,Right hand Bat,Right arm Fast medium,Bowler,8,1,1,2,1,0,39,0,5,9,0,5,6.5,0.0,5.0,60,3,0,65.0,0.0,0,0,0,0,0,0,0,0,0,11,3,2,588,0,102,490,97,63,17,3,4,3/41,2/38,3/45,28.82,32.33,15.75,5.0,8.81,3.7,34.5,22.0,25.5,0,0,0,0,0,0,0,0,0,11,3,1,ENG,Retired,2010,2011,2010,2010,2010,2011
8,A Symonds,6/9/1975,49.08,Right hand Bat,"Right arm Medium, Right arm Offbreak",Allrounder,161,11,41,33,4,5,5088,337,1462,156,85,162,39.75,48.14,40.61,5504,199,0,92.44,169.34,6,0,2,30,2,10,15,2,4,158,12,41,5935,0,2094,4955,277,896,133,8,24,5/18,2/14,3/50,37.25,34.62,37.33,5.0,8.98,2.56,44.6,23.1,87.2,2,0,0,1,0,0,0,0,0,198,14,26,AUS,Retired,1998,2009,2004,2008,2005,2009
9,AAP Atkinson,1/19/1998,26.5260274,Right hand Bat,Right arm Fast medium,Bowler,6,1,4,2,1,1,63,8,44,35,8,21,15.75,0.0,14.66,50,10,0,126.0,80.0,0,0,0,0,0,0,1,0,1,9,3,6,382,0,533,388,84,357,11,6,22,2/28,4/20,7/45,35.27,14.0,16.22,6.09,9.5,4.01,34.7,8.8,24.2,0,1,0,0,0,2,0,0,1,9,3,3,ENG,Currently Playing,2023,2023,2024,2024,2023,2023
10,AB Agarkar,12/4/1977,46.65205479,Right hand Bat,Right arm Fast,Bowler,113,2,39,26,0,5,1269,15,571,95,14,109,14.58,7.5,16.79,1574,11,0,80.62,136.36,0,0,1,3,0,0,10,0,9,188,3,46,9484,0,4857,8021,85,2745,288,3,58,6/42,2/10,6/41,27.85,28.33,47.32,5.07,8.09,3.39,32.9,21.0,83.7,10,0,0,2,0,1,0,0,0,191,4,26,IND,Retired,1998,2007,1998,2006,2006,2007
11,AB Barath,4/14/1990,34.29041096,Right hand Bat,Right arm Offbreak,Opening Batter,14,2,28,1,0,0,394,23,657,113,15,104,30.3,11.5,23.46,612,39,0,64.37,58.97,1,0,1,1,0,4,2,0,2,0,0,1,0,0,6,0,0,4,0,0,0,-,-,-,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,14,2,15,WI,Retired,2010,2012,2009,2012,2010,2011
12,AC Agar,10/14/1993,30.79178082,Left hand Bat,Slow Left arm Orthodox,Bowler,18,29,7,5,5,1,322,279,195,48,29,98,24.76,11.62,32.5,388,278,0,82.98,100.35,0,0,0,0,0,1,3,4,0,22,49,10,1098,0,1006,958,1129,468,21,49,9,2/31,6/30,3/46,45.61,23.04,52.0,5.23,6.5,2.79,52.2,21.2,111.7,0,0,0,0,2,0,0,0,0,22,49,5,AUS,Currently Playing,2015,2023,2013,2023,2016,2024
13,AC Voges,10/4/1979,44.81917808,Right hand Bat,Slow Left arm Orthodox,Top order Batter,28,5,31,9,2,7,870,139,1485,112,51,269,45.78,46.33,61.87,998,114,0,87.17,121.92,1,0,5,4,1,4,0,0,2,15,1,6,301,0,76,276,5,44,6,2,0,1/3,2/5,-,46.0,2.5,0.0,5.5,2.5,3.47,50.1,6.0,0.0,0,0,0,0,0,0,0,0,0,31,7,20,AUS,Retired,2007,2013,2015,2016,2007,2013
14,AD Hales,1/3/1989,35.56986301,Right hand Bat,Right arm Medium,Opening Batter,67,75,21,3,8,0,2419,2074,573,171,116,94,37.79,30.95,27.28,2527,1499,0,95.72,138.35,6,1,0,14,12,5,5,5,0,0,0,1,0,0,18,0,0,2,0,0,0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,70,75,11,ENG,Retired,2014,2019,2015,2016,2011,2022
