Player Name,Born,Age,Batting Style,Bowling Style,Playing Role,Height,Innings_ODI_batting,Innings_T20_batting,Innings_Test_batting,NO_ODI,NO_T20,NO_Test,Runs_ODI_batting,Runs_T20_batting,Runs_Test_batting,HS_ODI,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,BF_T20,BF_Test,SR_ODI_batting,SR_T20_batting,SR_Test_batting,100_ODI,100_T20,100_Test,50_ODI,50_T20,50_Test,0_ODI,0_T20,0_Test,Span Start_ODI_batting,Span Start_T20_batting,Span Start_Test_batting,Span End_ODI_batting,Span End_T20_batting,Span End_Test_batting,Current Status_ODI_batting,Current Status_T20_batting,Current Status_Test_batting,Innings_ODI_bowling,Innings_T20_bowling,Innings_Test_bowling,Balls_ODI,Balls_T20,Balls_Test,Runs_ODI_bowling,Runs_T20_bowling,Runs_Test_bowling,Wickets_ODI,Wickets_T20,Wickets_Test,BBI_ODI,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_ODI,Econ_T20,Econ_Test,SR_ODI_bowling,SR_T20_bowling,SR_Test_bowling,4_ODI,4_T20,4_Test,5_ODI,5_T20,5_Test,10_ODI,10_T20,10_Test,Span Start_ODI_bowling,Span Start_T20_bowling,Span Start_Test_bowling,Span End_ODI_bowling,Span End_T20_bowling,Span End_Test_bowling,Current Status_ODI_bowling,Current Status_T20_bowling,Current Status_Test_bowling,ODI_Matches,T20_Matches,Test_Matches
A Athanaze (WI),"December 07, 1998, Dominica",25y 235d,Left hand Bat,Right arm Offbreak,Middle order Batter,,10.0,1.0,13.0,0.0,1.0,0.0,288.0,6.0,310.0,66,6*,82,28.8,,23.84,337.0,7.0,0.0,85.45,85.71,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2023,2024,2023,2024,2024,2024,Currently Playing,Currently Playing,Currently Playing,1.0,0.0,2.0,6.0,0.0,120.0,7.0,0.0,65.0,0.0,0.0,1.0,-,-,1/53,,,65.0,7.0,,3.25,,,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,2024,2023,2024,2024,2024,Currently Playing,Currently Playing,Currently Playing,10,1,7
A Balbirnie (IRE),"December 28, 1990, Dublin, Ireland",33y 214d,Right hand Bat,Right arm Offbreak,Batter,,102.0,106.0,18.0,8.0,4.0,1.0,3008.0,2392.0,401.0,145*,83,95,32.0,23.45,23.58,4021.0,1941.0,0.0,74.8,123.23,,8.0,0.0,0.0,16.0,12.0,4.0,7.0,6.0,3.0,2010,2015,2018,2024,2024,2024,Currently Playing,Currently Playing,Currently Playing,3.0,0.0,1.0,60.0,0.0,6.0,68.0,0.0,8.0,2.0,0.0,0.0,1/26,-,-,34.0,,,6.8,,8.0,30.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,2015,2018,2024,2024,2024,Currently Playing,Currently Playing,Currently Playing,108,110,9
A Dananjaya (SL),"October 04, 1993, Panadura",30y 299d,Left hand Bat,"Right arm Offbreak, Legbreak",Allrounder,,30.0,16.0,10.0,6.0,8.0,2.0,291.0,65.0,135.0,50*,11*,43*,12.12,8.12,16.87,417.0,72.0,0.0,69.78,90.27,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,2012,2012,2018,2024,2024,2019,Currently Playing,Currently Playing,Retired,38.0,33.0,12.0,1995.0,0.0,1385.0,1715.0,965.0,819.0,58.0,30.0,33.0,6/29,3/36,6/115,29.56,32.16,24.81,5.15,8.25,3.54,34.3,23.3,41.9,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2012,2012,2018,2024,2024,2019,Currently Playing,Currently Playing,Retired,40,33,6
A Mishra (IND),"November 24, 1982, Delhi",41y 248d,Right hand Bat,Legbreak,Bowler,,11.0,1.0,32.0,3.0,0.0,2.0,43.0,0.0,648.0,14,0,84,5.37,0.0,21.6,82.0,0.0,0.0,52.43,,,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,4.0,2003,2010,2008,2016,2017,2016,Retired,Retired,Retired,34.0,10.0,40.0,1917.0,0.0,5103.0,1511.0,240.0,2715.0,64.0,16.0,76.0,6/48,3/24,5/71,23.6,15.0,35.72,4.72,6.31,3.19,29.9,14.2,67.1,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2003,2010,2008,2016,2017,2016,Retired,Retired,Retired,36,10,22
A Ndlovu (ZIM),"January 26, 1996, Bulawayo, Matabeleland",28y 185d,Right hand Bat,Slow Left arm Orthodox,Bowler,,0.0,5.0,4.0,0.0,3.0,0.0,0.0,33.0,9.0,-,13*,5,,16.5,2.25,0.0,41.0,0.0,,80.48,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2019,2019,2020,2019,2024,2020,Retired,Currently Playing,Retired,2.0,12.0,2.0,102.0,0.0,420.0,80.0,289.0,277.0,1.0,4.0,2.0,1/29,1/14,2/170,80.0,72.25,138.5,4.7,8.02,3.95,102.0,54.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,2019,2020,2019,2024,2020,Retired,Currently Playing,Retired,2,12,2
A Nel (SA),"July 15, 1977, Germiston, Transvaal",47y 14d,Right hand Bat,Right arm Fast medium,Bowler,,22.0,1.0,42.0,12.0,1.0,8.0,127.0,0.0,337.0,30*,0*,34,12.7,,9.91,166.0,2.0,0.0,76.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,2001,2005,2001,2008,2007,2008,Retired,Retired,Retired,76.0,2.0,69.0,3801.0,0.0,7630.0,2935.0,42.0,3919.0,106.0,2.0,123.0,5/45,2/19,6/32,27.68,21.0,31.86,4.63,5.25,3.08,35.8,24.0,62.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2001,2005,2001,2008,2007,2008,Retired,Retired,Retired,79,2,36
A Nortje (SA),16-Nov-93,30y 256d,Right hand Bat,Right arm Fast,Bowler,,7.0,12.0,33.0,1.0,6.0,9.0,40.0,17.0,187.0,10,4*,40,6.66,2.83,7.79,59.0,35.0,0.0,67.79,48.57,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,2019,2019,2019,2023,2024,2023,Retired,Currently Playing,Retired,21.0,41.0,32.0,1006.0,0.0,3057.0,982.0,1016.0,1870.0,36.0,53.0,70.0,4/51,4/7,6/56,27.27,19.16,26.71,5.85,7.01,3.67,27.9,16.3,43.6,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2019,2019,2019,2023,2024,2023,Retired,Currently Playing,Retired,22,42,19
A Shahzad (ENG),"July 27, 1985, Huddersfield, Yorkshire",39y 2d,Right hand Bat,Right arm Fast medium,Bowler,,8.0,1.0,1.0,2.0,1.0,0.0,39.0,0.0,5.0,9,0*,5,6.5,,5.0,60.0,3.0,0.0,65.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,2010,2010,2011,2011,2010,Retired,Retired,Retired,11.0,3.0,2.0,588.0,0.0,102.0,490.0,97.0,63.0,17.0,3.0,4.0,3/41,2/38,3/45,28.82,32.33,15.75,5.0,8.81,3.7,34.5,22.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,2010,2010,2011,2011,2010,Retired,Retired,Retired,11,3,1
A Symonds (AUS),"June 09, 1975, Birmingham, Warwickshire, England",,Right hand Bat,"Right arm Medium, Right arm Offbreak",Allrounder,,161.0,11.0,41.0,33.0,4.0,5.0,5088.0,337.0,1462.0,156,85*,162*,39.75,48.14,40.61,5504.0,199.0,0.0,92.44,169.34,,6.0,0.0,2.0,30.0,2.0,10.0,15.0,2.0,4.0,1998,2005,2004,2009,2009,2008,Retired,Retired,Retired,158.0,12.0,41.0,5935.0,0.0,2094.0,4955.0,277.0,896.0,133.0,8.0,24.0,5/18,2/14,3/50,37.25,34.62,37.33,5.0,8.98,2.56,44.6,23.1,87.2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1998,2005,2004,2009,2009,2008,Retired,Retired,Retired,198,14,26
AAP Atkinson (ENG),"January 19, 1998, Chelsea, Middlesex",26y 192d,Right hand Bat,Right arm Fast medium,Bowler,,6.0,1.0,4.0,2.0,1.0,1.0,63.0,8.0,44.0,35,8*,21*,15.75,,14.66,50.0,10.0,0.0,126.0,80.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2023,2023,2024,2023,2023,2024,Retired,Retired,Currently Playing,9.0,3.0,6.0,382.0,0.0,533.0,388.0,84.0,357.0,11.0,6.0,22.0,2/28,4/20,7/45,35.27,14.0,16.22,6.09,9.5,4.01,34.7,8.8,24.2,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2023,2023,2024,2023,2023,2024,Retired,Retired,Currently Playing,9,3,3
