Name,Born,Country (Current),Tests,ODIs,T20s
Aadil Bhaiyat,30/01/1995,Eswatini,,,5
Aaftab Alam Khan,31/01/1986,Malta,,,27
Aakash Chand,18/12/2004,Nepal,,2,3
Aamer Hameed,18/10/1954,Pakistan,,2,
Aamer Hanif,4/10/1971,Pakistan,,5,
Aamer Ikram,7/7/1979,Portugal,,,4
Aamer Jamal,5/7/1996,Pakistan,3,,6
Aamer Malik,3/1/1963,Pakistan,14,24,
Aamer Yamin,26/06/1990,Pakistan,,4,2
Aamir Kaleem,20/11/1981,Oman,,3,33
Aamir Lal,10/8/1990,South Korea,,,4
Aamir Nazir,2/1/1971,Pakistan,6,9,
Aamir Sohail,14/09/1966,Pakistan,47,156,
Aanand Pandey,20/10/1993,Luxembourg,,,3
Aaqib Javed,5/8/1972,Pakistan,22,163,
Aarif Sheikh,5/10/1997,Nepal,,51,38
Aarnav Patel,5/1/2006,Kenya,,,2
V R Aaron,29/10/1989,India,9,9,
Aarush Bhagwat,12/9/2003,Hong Kong,,,4
Aasif Sheikh,22/01/2001,Nepal,,49,47
Aayan Afzal Khan,15/11/2005,United Arab Emirates,,28,33
J Ababu,15/04/1980,Kenya,,9,
P Abanda,12/3/1985,Cameroon,,,13
Abass Gbla,15/10/1997,Sierra Leone,,,27
Abbas Afridi,5/5/2001,Pakistan,,,10
Abbas Ghani,16/11/2000,Hungary,,,6
Abbas Saad,1/6/1986,Saudi Arabia,,,2
Z Abbasi,22/04/1987,Botswana,,,4
K J Abbott,18/06/1987,South Africa,11,28,21
S A Abbott,29/02/1992,Australia,,21,15
Abdul Baladraf,11/4/2000,Saudi Arabia,,,9
Abdul Bashir,1/6/1998,Germany,,,1
Abdul Farhad,20/01/1990,Czech Republic,,,4
Abdul Hai Muhammad,8/11/1980,Belgium,,,3
Abdul Hashmi,4/9/1997,Denmark,,,23
Abdul Jabbar,1/3/1983,Canada,,2,
Abdul Kadir,10/5/1944,Pakistan,4,,
Abdul Majid,13/02/1992,Bahrain,,,15
Abdul Majid Abbasi,7/9/1993,Bahrain,,,15
Abdul Malik,11/3/1998,Afghanistan,2,,
Abdul Manan Ali,30/07/1997,Saudi Arabia,,,24
Abdul Naser Baluch,8/11/1999,Sweden,,,8
Abdul Qadir,15/09/1955,Pakistan,67,104,
Abdul Rahman,22/11/2001,Afghanistan,,3,
Abdul Rahman,1/1/2002,Austria,,,3
Abdul Rahman,21/07/1999,France,,,1
Abdul Rahman Bhadelia,30/05/2000,Singapore,,,10
Abdul Rashid,6/7/1991,Belgium,,,2
Abdul Razzaq,2/12/1979,Pakistan,46,265,32
Abdul Rehman,2/1/1987,United Arab Emirates,,1,
Abdul Samad,15/01/2004,Japan,,,4
Abdul Shakoor,4/4/1993,Romania,,,18
Abdul Shakoor,15/03/1985,United Arab Emirates,,3,6
Abdul Waheed,7/12/1993,Saudi Arabia,,,37
Abdul Wahid,1/1/1986,Saudi Arabia,,,12
Abdul Wasi,6/7/2002,Afghanistan,1,,
R Abdulkareem,25/01/2005,Nigeria,,,32
M Abdulla,8/4/1983,Malawi,,,10
Y A Abdulla,17/01/1983,South Africa,,,2
Abdulla Bhoola,21/01/1997,Panama,,,2
Abdullah Akbarjan,1/1/1990,Austria,,,35
Abdullah Khan Lodhi,16/06/1993,Turkey,,,4
Abdullah Mahmood,13/05/2002,Denmark,,,12
Abdullah Mazari,7/3/1987,Afghanistan,,2,
Abdullah Rana,18/06/1984,Switzerland,,,8
Abdullah Shafique,20/11/1999,Pakistan,17,12,6
Abdullah Shahid,4/6/1974,Maldives,,,3
Abdullah Sheikh,28/05/1998,Norway,,,5
Abdulmalik Jabarkhel,25/04/2003,France,,,2
Abdul-Shakoor Rahimzei,19/03/1999,Germany,,,26
Abdur Rahman Sudais,,Sweden,,,7
Abdur Rauf,9/12/1978,Pakistan,3,4,1
Abdur Razzak,15/06/1982,Bangladesh,13,153,34
Abdur Rehman,1/3/1980,Pakistan,22,31,8
Abdurahmani Hussein,1/2/2003,Tanzania,,,2
Abdykhabar Jabarkhail,16/10/2001,Belgium,,,6
K H Abe,5/1/2006,Japan,,,14
E L A'Beckett,11/8/1907,Australia,4,,
J B Abega,13/06/1986,Cameroon,,,17
R Abel,30/11/1857,England,13,,
Abhijeet Ahuja,16/01/1987,Hungary,,,19
Abhishek Ahuja,7/8/1985,Hungary,,,17
Abhishek Sharma,4/9/2000,India,,,5
Abid Ali,16/10/1987,Pakistan,16,6,
S Abid Ali,9/9/1941,India,29,5,
A S Abioye,21/11/1992,Nigeria,,,5
I K O Aboagye,27/12/1995,Ghana,,,4
M Aboagye,31/12/2001,Ghana,,,14
R A Abolarin,2/10/2002,Nigeria,,,10
Abraash Khan,23/07/1998,Canada,,,7
S Abrahams,4/3/1968,South Africa,,1,
Abrar Ahmed,11/9/1998,Pakistan,6,,3
Abrar Bilal,21/04/1985,Austria,,,20
Absar Khan,12/2/1986,Denmark,,,2
C A Absolom,07/06/1846,England,1,,
Abu Hider,14/02/1996,Bangladesh,,2,13
